"","course_name_830","prior_knowl_percent","awake_rating","attendance_percent","on_time_percentage","teach_perf_rating_830","sleep_total_830","transport_method_830","commute_time_830","wake_time_830","gpa_830","class_avg_gpa_830","learn_effectiveness_830","course_name_n830","prior_knowl_percent_n830","start_time_n830","also_had_830class_n830","awake_rating_n830","attendance_percent_n830","on_time_percent_n830","teach_perf_rating_n830","sleep_total_n830","transport_method_n830","commute_time_n830","wake_time_n830","gpa_n830","class_avg_gpa_n830","learn_effectiveness_n830"
"67","MATH 124",50,2,75,90,3,5,"Walking",15,2018-02-26 05:00:00,2.5,NA,2,"BIOL 350",50,2018-02-26 02:00:00,"No",4,100,100,3,4,"Walking",15,2018-02-26 07:00:00,2.7,NA,5
"68","INFO 343",20,3,90,15,5,6,"pub_transport",60,2018-02-26 06:30:00,3.8,NA,3,"CSE 142",20,2018-02-26 12:30:00,"No",4,60,30,5,6,"Walking",15,2018-02-26 07:00:00,3.4,NA,4
"69","INFO 360",15,3,100,50,5,7,"Walking",25,2018-02-26 07:00:00,3.8,NA,4,"CSE 142",0,2018-02-26 12:30:00,"No",4,95,95,5,8,"Walking",20,2018-02-26 09:00:00,3.4,2.8,5
"70","LSJ 366",40,2,30,100,2,5,"Walking",10,2018-02-26 07:45:00,3,NA,2,"SOC 271",25,2018-02-26 02:30:00,"Yes",4,75,100,4,8,"Walking",10,2018-02-26 12:00:00,3.5,NA,4
"71","CHEM 142",50,2,95,70,3,6,"Walking",10,2018-02-26 07:00:00,3.5,2.8,2,"PHYS 122",0,2018-02-26 12:30:00,"No",3,100,95,2,7,"Walking",20,2018-02-26 09:00:00,4,2.8,2
"72","PSYCH 209",10,3,80,100,2,7,"Walking",10,2018-02-26 07:50:00,3.8,NA,3,"PSYCH 202",10,2018-02-26 10:30:00,"No",5,100,100,5,8,"Walking",12,2018-02-26 09:30:00,3.9,NA,4
"73","BIOC 442",15,4,95,100,5,7.5,"Walking",8,2018-02-26 05:45:00,3.8,3.1,5,"CHEM 455",10,2018-02-26 09:30:00,"No",4,100,100,5,8,"Walking",13,2018-02-26 05:40:00,4,2.9,5
"74","PHYS 122",10,3,60,60,5,6,"Walking",20,2018-02-26 07:20:00,3.5,3.2,2,"EE 233",20,2018-02-26 10:30:00,"No",4,100,90,2,8,"Walking",20,2018-02-26 09:20:00,3.8,NA,5
"75","CLAS 205",75,3,100,100,3,7,"Walking",20,2018-02-26 07:00:00,4,NA,2,"BIOL 354",80,2018-02-26 01:30:00,"Yes",4,100,100,3,7,"pub_transport",10,2018-02-26 09:00:00,3.9,NA,3
"76","CHEM 152",15,4,100,100,5,8,"Walking",15,2018-02-26 07:15:00,3.6,2.8,5,"CHEM 335",15,2018-02-26 10:30:00,"No",4,100,100,4,7,"Walking",15,2018-02-26 09:00:00,3.6,3.5,4
