"total_sleep_time","transportation_method","prior_knowl","teacher_performance","predicted"
1,"pub_transport",30,"2",1
1,"pub_transport",35,"2",1
1,"pub_transport",40,"2",1
1,"pub_transport",45,"2",1
1,"pub_transport",50,"2",1
1,"pub_transport",55,"2",1
1,"pub_transport",60,"2",1
1,"pub_transport",65,"2",1
1,"pub_transport",70,"2",1
1,"pub_transport",75,"2",1
1,"pub_transport",80,"2",1
1,"pub_transport",85,"2",1
1,"pub_transport",90,"2",1
1,"pub_transport",95,"2",1
1,"pub_transport",100,"2",1
2,"pub_transport",0,"2",1
2,"pub_transport",5,"2",1
2,"pub_transport",10,"2",1
2,"pub_transport",15,"2",1
2,"pub_transport",20,"2",1
2,"pub_transport",25,"2",1
2,"pub_transport",30,"2",1
2,"pub_transport",35,"2",1
2,"pub_transport",40,"2",1
2,"pub_transport",45,"2",1
2,"pub_transport",50,"2",1
2,"pub_transport",55,"2",1
2,"pub_transport",60,"2",1
2,"pub_transport",65,"2",1
2,"pub_transport",70,"2",1
2,"pub_transport",75,"2",1
2,"pub_transport",80,"2",1
2,"pub_transport",85,"2",1
2,"pub_transport",90,"2",1
2,"pub_transport",95,"2",1
2,"pub_transport",100,"2",1
3,"pub_transport",0,"2",2
3,"pub_transport",5,"2",2
3,"pub_transport",10,"2",2
3,"pub_transport",15,"2",1
3,"pub_transport",20,"2",1
3,"pub_transport",25,"2",1
3,"pub_transport",30,"2",1
3,"pub_transport",35,"2",1
3,"pub_transport",40,"2",1
3,"pub_transport",45,"2",1
3,"pub_transport",50,"2",1
3,"pub_transport",55,"2",1
3,"pub_transport",60,"2",1
3,"pub_transport",65,"2",1
3,"pub_transport",70,"2",1
3,"pub_transport",75,"2",1
3,"pub_transport",80,"2",1
3,"pub_transport",85,"2",1
3,"pub_transport",90,"2",1
3,"pub_transport",95,"2",1
3,"pub_transport",100,"2",1
4,"pub_transport",0,"2",2
4,"pub_transport",5,"2",2
4,"pub_transport",10,"2",2
4,"pub_transport",15,"2",2
4,"pub_transport",20,"2",2
4,"pub_transport",25,"2",2
4,"pub_transport",30,"2",2
4,"pub_transport",35,"2",2
4,"pub_transport",40,"2",2
4,"pub_transport",45,"2",2
4,"pub_transport",50,"2",2
4,"pub_transport",55,"2",2
4,"pub_transport",60,"2",1
4,"pub_transport",65,"2",1
4,"pub_transport",70,"2",1
4,"pub_transport",75,"2",1
4,"pub_transport",80,"2",1
4,"pub_transport",85,"2",1
4,"pub_transport",90,"2",1
4,"pub_transport",95,"2",1
4,"pub_transport",100,"2",1
5,"pub_transport",0,"2",2
5,"pub_transport",5,"2",2
5,"pub_transport",10,"2",2
5,"pub_transport",15,"2",2
5,"pub_transport",20,"2",2
5,"pub_transport",25,"2",2
5,"pub_transport",30,"2",2
5,"pub_transport",35,"2",2
5,"pub_transport",40,"2",2
5,"pub_transport",45,"2",2
5,"pub_transport",50,"2",2
5,"pub_transport",55,"2",2
5,"pub_transport",60,"2",2
5,"pub_transport",65,"2",2
5,"pub_transport",70,"2",2
5,"pub_transport",75,"2",2
5,"pub_transport",80,"2",2
5,"pub_transport",85,"2",2
5,"pub_transport",90,"2",2
5,"pub_transport",95,"2",2
5,"pub_transport",100,"2",1
6,"pub_transport",0,"2",2
6,"pub_transport",5,"2",2
6,"pub_transport",10,"2",2
6,"pub_transport",15,"2",2
6,"pub_transport",20,"2",2
6,"pub_transport",25,"2",2
6,"pub_transport",30,"2",2
6,"pub_transport",35,"2",2
6,"pub_transport",40,"2",2
6,"pub_transport",45,"2",2
6,"pub_transport",50,"2",2
6,"pub_transport",55,"2",2
6,"pub_transport",60,"2",2
6,"pub_transport",65,"2",2
6,"pub_transport",70,"2",2
6,"pub_transport",75,"2",2
6,"pub_transport",80,"2",2
6,"pub_transport",85,"2",2
6,"pub_transport",90,"2",2
6,"pub_transport",95,"2",2
6,"pub_transport",100,"2",2
7,"pub_transport",0,"2",3
7,"pub_transport",5,"2",3
7,"pub_transport",10,"2",3
7,"pub_transport",15,"2",3
7,"pub_transport",20,"2",2
7,"pub_transport",25,"2",2
7,"pub_transport",30,"2",2
7,"pub_transport",35,"2",2
7,"pub_transport",40,"2",2
7,"pub_transport",45,"2",2
7,"pub_transport",50,"2",2
7,"pub_transport",55,"2",2
7,"pub_transport",60,"2",2
7,"pub_transport",65,"2",2
7,"pub_transport",70,"2",2
7,"pub_transport",75,"2",2
7,"pub_transport",80,"2",2
7,"pub_transport",85,"2",2
7,"pub_transport",90,"2",2
7,"pub_transport",95,"2",2
7,"pub_transport",100,"2",2
8,"pub_transport",0,"2",3
8,"pub_transport",5,"2",3
8,"pub_transport",10,"2",3
8,"pub_transport",15,"2",3
8,"pub_transport",20,"2",3
8,"pub_transport",25,"2",3
8,"pub_transport",30,"2",3
8,"pub_transport",35,"2",3
8,"pub_transport",40,"2",3
8,"pub_transport",45,"2",3
8,"pub_transport",50,"2",3
8,"pub_transport",55,"2",3
8,"pub_transport",60,"2",2
8,"pub_transport",65,"2",2
8,"pub_transport",70,"2",2
8,"pub_transport",75,"2",2
8,"pub_transport",80,"2",2
8,"pub_transport",85,"2",2
8,"pub_transport",90,"2",2
8,"pub_transport",95,"2",2
8,"pub_transport",100,"2",2
9,"pub_transport",0,"2",3
9,"pub_transport",5,"2",3
9,"pub_transport",10,"2",3
9,"pub_transport",15,"2",3
9,"pub_transport",20,"2",3
9,"pub_transport",25,"2",3
9,"pub_transport",30,"2",3
9,"pub_transport",35,"2",3
9,"pub_transport",40,"2",3
9,"pub_transport",45,"2",3
9,"pub_transport",50,"2",3
9,"pub_transport",55,"2",3
9,"pub_transport",60,"2",3
9,"pub_transport",65,"2",3
9,"pub_transport",70,"2",3
9,"pub_transport",75,"2",3
9,"pub_transport",80,"2",3
9,"pub_transport",85,"2",3
9,"pub_transport",90,"2",3
9,"pub_transport",95,"2",3
9,"pub_transport",100,"2",2
10,"pub_transport",0,"2",3
10,"pub_transport",5,"2",3
10,"pub_transport",10,"2",3
10,"pub_transport",15,"2",3
10,"pub_transport",20,"2",3
10,"pub_transport",25,"2",3
10,"pub_transport",30,"2",3
10,"pub_transport",35,"2",3
10,"pub_transport",40,"2",3
10,"pub_transport",45,"2",3
10,"pub_transport",50,"2",3
10,"pub_transport",55,"2",3
10,"pub_transport",60,"2",3
10,"pub_transport",65,"2",3
10,"pub_transport",70,"2",3
10,"pub_transport",75,"2",3
10,"pub_transport",80,"2",3
10,"pub_transport",85,"2",3
10,"pub_transport",90,"2",3
10,"pub_transport",95,"2",3
10,"pub_transport",100,"2",3
11,"pub_transport",0,"2",4
11,"pub_transport",5,"2",4
11,"pub_transport",10,"2",4
11,"pub_transport",15,"2",3
11,"pub_transport",20,"2",3
11,"pub_transport",25,"2",3
11,"pub_transport",30,"2",3
11,"pub_transport",35,"2",3
11,"pub_transport",40,"2",3
11,"pub_transport",45,"2",3
11,"pub_transport",50,"2",3
11,"pub_transport",55,"2",3
11,"pub_transport",60,"2",3
11,"pub_transport",65,"2",3
11,"pub_transport",70,"2",3
11,"pub_transport",75,"2",3
11,"pub_transport",80,"2",3
11,"pub_transport",85,"2",3
11,"pub_transport",90,"2",3
11,"pub_transport",95,"2",3
11,"pub_transport",100,"2",3
12,"pub_transport",0,"2",4
12,"pub_transport",5,"2",4
12,"pub_transport",10,"2",4
12,"pub_transport",15,"2",4
12,"pub_transport",20,"2",4
12,"pub_transport",25,"2",4
12,"pub_transport",30,"2",4
12,"pub_transport",35,"2",4
12,"pub_transport",40,"2",4
12,"pub_transport",45,"2",4
12,"pub_transport",50,"2",4
12,"pub_transport",55,"2",3
12,"pub_transport",60,"2",3
12,"pub_transport",65,"2",3
12,"pub_transport",70,"2",3
12,"pub_transport",75,"2",3
12,"pub_transport",80,"2",3
12,"pub_transport",85,"2",3
12,"pub_transport",90,"2",3
12,"pub_transport",95,"2",3
12,"pub_transport",100,"2",3
13,"pub_transport",0,"2",4
13,"pub_transport",5,"2",4
13,"pub_transport",10,"2",4
13,"pub_transport",15,"2",4
13,"pub_transport",20,"2",4
13,"pub_transport",25,"2",4
13,"pub_transport",30,"2",4
13,"pub_transport",35,"2",4
13,"pub_transport",40,"2",4
13,"pub_transport",45,"2",4
13,"pub_transport",50,"2",4
13,"pub_transport",55,"2",4
13,"pub_transport",60,"2",4
13,"pub_transport",65,"2",4
13,"pub_transport",70,"2",4
13,"pub_transport",75,"2",4
13,"pub_transport",80,"2",4
13,"pub_transport",85,"2",4
13,"pub_transport",90,"2",4
13,"pub_transport",95,"2",3
13,"pub_transport",100,"2",3
14,"pub_transport",0,"2",4
14,"pub_transport",5,"2",4
14,"pub_transport",10,"2",4
14,"pub_transport",15,"2",4
14,"pub_transport",20,"2",4
14,"pub_transport",25,"2",4
14,"pub_transport",30,"2",4
14,"pub_transport",35,"2",4
14,"pub_transport",40,"2",4
14,"pub_transport",45,"2",4
14,"pub_transport",50,"2",4
14,"pub_transport",55,"2",4
14,"pub_transport",60,"2",4
14,"pub_transport",65,"2",4
14,"pub_transport",70,"2",4
14,"pub_transport",75,"2",4
14,"pub_transport",80,"2",4
14,"pub_transport",85,"2",4
14,"pub_transport",90,"2",4
14,"pub_transport",95,"2",4
14,"pub_transport",100,"2",4
15,"pub_transport",0,"2",5
15,"pub_transport",5,"2",5
15,"pub_transport",10,"2",5
15,"pub_transport",15,"2",4
15,"pub_transport",20,"2",4
15,"pub_transport",25,"2",4
15,"pub_transport",30,"2",4
15,"pub_transport",35,"2",4
15,"pub_transport",40,"2",4
15,"pub_transport",45,"2",4
15,"pub_transport",50,"2",4
15,"pub_transport",55,"2",4
15,"pub_transport",60,"2",4
15,"pub_transport",65,"2",4
15,"pub_transport",70,"2",4
15,"pub_transport",75,"2",4
15,"pub_transport",80,"2",4
15,"pub_transport",85,"2",4
15,"pub_transport",90,"2",4
15,"pub_transport",95,"2",4
15,"pub_transport",100,"2",4
16,"pub_transport",0,"2",5
16,"pub_transport",5,"2",5
16,"pub_transport",10,"2",5
16,"pub_transport",15,"2",5
16,"pub_transport",20,"2",5
16,"pub_transport",25,"2",5
16,"pub_transport",30,"2",5
